5212998	F
31413349	M
37378819	M
4793630	M
49050030	M
33629684	M
21223916	M
8615142	M
17718243	M
4262927	M
29403454	M
34329786	F
15203381	M
31071775	M
25613373	M
48134372	F
46543755	M
38312438	M
34985616	F
2444013	M
32132023	M
47329613	M
4628088	M
27025998	M
10156063	M
4387327	M
5023935	M
28801441	F
49720700	F
22470257	F
8671971	M
7399437	F
14718892	M
3336170	M
5624610	M
3219616	M
7110320	M
11058737	M
4205532	M
22538920	M
4455605	M
6371906	M
33536814	F
11007153	F
8476835	M
15006726	F
49763738	M
14370885	M
49840075	F
33055774	M
39477040	F
10656517	M
32450277	M
33993412	M
7570478	F
3242046	M
17018054	F
15423460	F
12779057	F
28050253	M
13629996	M
13734790	M
47727946	F
11163870	F
14827445	M
38404260	M
31227357	F
10263413	M
29454565	F
17279061	M
19398743	M
19269412	M
30197572	M
33656393	F
19771509	M
29114210	M
2529124	M
10348785	M
9826464	M
34592011	F
48484618	M
3527488	M
6848437	M
5189752	F
32417070	F
24687281	M
16948660	F
38101464	M
24694978	M
2435554	M
19580875	M
19137127	F
38433148	M
28099788	F
34653493	M
48995552	M
6045976	M
8282900	M
41014274	M
17371068	M
11074852	M
34878577	F
4527233	F
5100049	F
27305000	M
47001580	M
6368317	M
12932064	F
13355787	M
12639291	M
12722595	M
9145886	M
28954422	M
13934588	M
14407210	M
15042814	M
4542736	M
42949935	F
7582237	M
22284792	F
20546039	M
28595767	M
3875659	M
11860041	F
31679002	F
9432749	M
3201112	M
1070023	M
49762643	M
37062896	M
7264036	F
21793434	M
36366144	M
30300851	M
35092357	M
15034784	M
7321906	F
4074209	M
21167471	F
21553716	M
5905347	M
38772025	M
7561463	M
19494659	M
9999390	F
42905752	M
37567206	M
13889005	M
37338330	M
21334741	M
30966706	M
33040688	M
6288812	M
47073692	M
11327969	M
19176017	M
48109294	F
40109002	F
24120979	M
4210979	F
36902217	F
17984876	M
46297062	M
7728493	M
45223001	F
30295897	M
48194610	M
39844792	F
6118988	F
33714100	M
2076073	M
48592006	F
6531302	M
26475538	F
35153450	M
17692748	M
12998222	M
31251828	F
30051358	M
12540703	F
33120385	F
25674682	M
8965314	M
11437587	M
45558930	M
34380060	F
47359218	M
12818606	F
5461216	F
37380216	M
2985852	M
25045932	M
39360369	F
38581617	F
8597500	F
38746117	M
21157136	M
40461148	F
7563578	M
32359746	M
30159870	M
38004158	M
9542122	M
7324838	M
10361255	M
39144669	F
12202482	M
22423928	M
12796976	M
31106430	M
16817999	M
19758439	F
8581467	F
3608214	M
47908786	M
40206493	M
26553618	M
40723056	M
8481988	M
45270459	M
9420139	M
35928310	M
5793279	F
33641567	M
29817982	M
22461284	M
6245226	M
17122714	M
6909536	M
22163127	M
6578173	F
5631089	M
11302903	M
3283618	M
5170101	M
3533336	F
32049218	M
18168954	F
12889620	M
41806642	F
7446800	M
5855683	M
2434909	M
2305826	M
5354601	M
10330478	F
4685185	M
34622721	F
10077522	M
16969903	F
2060645	F
7934108	M
16768857	M
15196977	F
42559926	F
15428528	M
27882948	M
13184680	M
3059654	M
37777688	F
22515858	M
18405482	F
4272514	M
3619631	M
35545833	F
11534748	M
39633927	M
33919668	F
26679329	M
11602082	F
45406308	M
34671264	M
21954669	M
6264499	M
3059633	M
30244469	F
7146609	M
28732240	F
8801241	M
22619082	F
37213333	M
6414020	M
10329335	F
21901331	M
26228878	M
40431675	M
3596038	M
7333145	M
5654235	M
20063503	M
49697414	M
5051474	M
42287988	M
21545054	M
8496608	M
5337721	M
40984511	M
6432868	M
7769032	M
5142895	M
40023129	M
11872430	M
28045434	F
12469102	M
37511625	M
8063563	M
8561716	F
14244164	M
36842570	M
6740239	M
47041826	M
5155763	M
22771155	M
38383876	M
21516622	F
20284800	M
13636190	F
37361907	M
10511444	M
41091975	M
22746666	M
40194722	M
48876955	M
