5212998	18196	4
5212998	18206	9
5212998	18207	36
5212998	18227	32
5212998	18234	6
5212998	18239	75
5212998	18261	15
5212998	18262	17
5212998	18277	2
5212998	18278	10
5212998	18284	41
5212998	18294	13
5212998	18297	29
5212998	18317	5
5212998	18341	13
5212998	6207	119
5212998	18433	1
5212998	18524	16
5212998	18569	17
5212998	10126	7
5212998	18609	25
5212998	18610	1
5212998	18613	62
5212998	18616	14
5212998	5331	13
5212998	8007	1
5212998	18677	1
5212998	18685	10
5212998	18689	1
5212998	18693	9
5212998	6857	80
5212998	6859	2
5212998	18750	5
5212998	18764	10
5212998	18773	12
5212998	18776	13
5212998	18781	14
5212998	18784	4
5212998	8571	68
5212998	14149	21
5212998	798	9
5212998	18726	38
5212998	18839	15
5212998	18881	6
5212998	11126	7
5212998	18886	8
5212998	4810	4
5212998	18924	13
5212998	14257	13
5212998	18929	62
5212998	18946	19
5212998	18949	17
5212998	15736	11
5212998	19000	31
5212998	19001	5
5212998	459	22
5212998	19036	1
5212998	19037	17
5212998	19067	2
5212998	1518	94
5212998	19073	9
5212998	12801	4
5212998	19085	11
5212998	6071	21
5212998	19107	7
5212998	19103	12
5212998	19173	109
5212998	15375	57
5212998	19176	4
5212998	19179	24
5212998	19236	3
5212998	19244	1
5212998	19254	55
5212998	19282	18
5212998	19317	11
5212998	19375	7
5212998	10104	6
5212998	6322	11
5212998	19397	7
5212998	3840	18
5212998	19409	60
5212998	19411	20
5212998	19422	10
5212998	19426	3
5212998	10129	33
5212998	19429	8
5212998	19431	1
5212998	19433	6
5212998	19437	38
5212998	19455	5
5212998	19456	6
5212998	18920	6
5212998	19468	2
5212998	19490	5
5212998	19494	5
5212998	19497	10
5212998	19511	1
5212998	19513	15
5212998	6173	12
5212998	19529	5
5212998	12958	4
5212998	19541	3
5212998	19551	1
5212998	7245	7
5212998	19558	4
5212998	19561	6
5212998	19568	14
5212998	7963	2
5212998	19590	6
5212998	19595	12
5212998	19596	16
5212998	19605	8
5212998	19619	8
5212998	18579	2
5212998	19625	5
5212998	19680	9
5212998	12497	8
5212998	440	8
5212998	19790	4
5212998	19801	1
5212998	19806	5
5212998	19812	9
5212998	11926	4
5212998	19856	2
5212998	19862	1
5212998	19876	11
5212998	19886	4
5212998	5660	11
5212998	14342	4
5212998	19926	13
5212998	19947	3
5212998	6386	9
5212998	6826	5
5212998	20209	6
5212998	20230	5
5212998	16794	10
5212998	20341	8
5212998	20480	5
5212998	20782	5
5212998	20818	7
5212998	20845	1
31413349	76772	28
31413349	6706	17
31413349	5759	46
31413349	6002	8
31413349	5561	20
31413349	6592	41
31413349	5760	98
31413349	5762	37
31413349	5740	47
31413349	1177	19
31413349	213	32
31413349	652	12
31413349	86041	3
31413349	33866	22
31413349	26592	3
31413349	86116	43
31413349	86125	28
31413349	86136	48
31413349	86137	13
31413349	24291	6
31413349	76767	1
31413349	55512	101
31413349	13679	57
31413349	86299	3
31413349	86300	1
31413349	86324	32
31413349	965	6
31413349	964	1
31413349	75647	18
31413349	74149	1
31413349	435	1
31413349	16909	43
31413349	187	2
31413349	12583	3
31413349	37376	5
31413349	21632	16
31413349	28464	23
31413349	44257	30
31413349	40666	6
31413349	41587	1
31413349	1732	11
31413349	33868	17
31413349	164	2
31413349	345	7
